ensemble,seed,E_raw,E_kept_t_gt_tmin,A_3p0_4p2,rho_E_atom,rho_E_vol_angstrom_minus3,R_edge,R_corner,S_GC_t_gt_tmin,z_eff
BD_borderline,2904017,62,43,0.04117063492063492,1.9375,0.010631001371742112,0.24193548387096775,0.7580645161290323,0.375,1.2441735439011579
BD_borderline,2904018,77,68,0.03670634920634921,2.40625,0.013203017832647462,0.2987012987012987,0.7012987012987013,0.59375,2.9699740874616722
BD_borderline,2904019,77,61,0.037698412698412696,2.40625,0.013203017832647462,0.23376623376623376,0.7662337662337663,0.40625,2.684686204623788
BD_borderline,2904020,64,49,0.036210317460317464,2.0,0.010973936899862825,0.203125,0.796875,0.359375,2.0640203895841402
BD_borderline,2904021,65,42,0.034722222222222224,2.03125,0.011145404663923183,0.3076923076923077,0.6923076923076923,0.34375,1.7661073319655898
BD_borderline,2904022,65,49,0.03720238095238095,2.03125,0.011145404663923183,0.24615384615384617,0.7538461538461538,0.21875,1.7307934796690558
BD_borderline,2904023,62,48,0.034722222222222224,1.9375,0.010631001371742112,0.24193548387096775,0.7580645161290323,0.34375,1.779700231641348
BD_borderline,2904024,65,52,0.039186507936507936,2.03125,0.011145404663923183,0.2153846153846154,0.7846153846153846,0.46875,1.8433203495170951
BD_borderline,2904025,72,52,0.041666666666666664,2.25,0.012345679012345678,0.20833333333333334,0.7916666666666666,0.28125,1.8948331691052978
BD_borderline,2904026,69,49,0.03422619047619048,2.15625,0.011831275720164609,0.3188405797101449,0.6811594202898551,0.203125,2.1275583115969945
BD_borderline,2904027,65,44,0.037698412698412696,2.03125,0.011145404663923183,0.27692307692307694,0.7230769230769231,0.1875,1.3884957269113274
BD_borderline,2904028,56,43,0.03571428571428571,1.75,0.009602194787379973,0.19642857142857142,0.8035714285714286,0.296875,1.4862346647124167
BD_borderline,2904029,65,50,0.03869047619047619,2.03125,0.011145404663923183,0.27692307692307694,0.7230769230769231,0.328125,1.5970275822694195
BD_borderline,2904030,64,48,0.03571428571428571,2.0,0.010973936899862825,0.3125,0.6875,0.390625,2.0220815003873542
BD_borderline,2904031,68,55,0.04365079365079365,2.125,0.011659807956104253,0.3088235294117647,0.6911764705882353,0.484375,1.7313246933175843
BA_bad,2905000,44,30,0.03571428571428571,1.375,0.0075445816186556925,0.18181818181818182,0.8181818181818182,0.140625,1.1600389513130753
BA_bad,2905001,46,34,0.033234126984126984,1.4375,0.007887517146776405,0.10869565217391304,0.8913043478260869,0.21875,1.627765634312167
BA_bad,2905002,51,35,0.03968253968253968,1.59375,0.00874485596707819,0.19607843137254902,0.803921568627451,0.171875,1.5129302116953656
BA_bad,2905003,45,31,0.039186507936507936,1.40625,0.007716049382716049,0.06666666666666667,0.9333333333333333,0.109375,1.229894649221627
BA_bad,2905004,38,28,0.028769841269841268,1.1875,0.006515775034293553,0.18421052631578946,0.8157894736842105,0.171875,1.0278588008884855
BA_bad,2905005,47,36,0.03422619047619048,1.46875,0.008058984910836762,0.06382978723404255,0.9361702127659575,0.125,1.588374517768162
BA_bad,2905006,53,35,0.03819444444444445,1.65625,0.009087791495198902,0.16981132075471697,0.8301886792452831,0.09375,1.2258537312095805
BA_bad,2905007,49,39,0.03521825396825397,1.53125,0.008401920438957476,0.10204081632653061,0.8979591836734694,0.234375,1.583972393052227
BA_bad,2905008,43,31,0.030257936507936508,1.34375,0.007373113854595336,0.11627906976744186,0.8837209302325582,0.140625,1.2065726900681653
BA_bad,2905009,47,32,0.03720238095238095,1.46875,0.008058984910836762,0.2553191489361702,0.7446808510638298,0.078125,1.4084169071977177
BA_bad,2905010,47,37,0.04117063492063492,1.46875,0.008058984910836762,0.06382978723404255,0.9361702127659575,0.234375,1.2093774484002144
BA_bad,2905011,38,33,0.03720238095238095,1.1875,0.006515775034293553,0.13157894736842105,0.868421052631579,0.09375,1.2042230564614722
BA_bad,2905012,37,27,0.032242063492063495,1.15625,0.0063443072702331965,0.24324324324324326,0.7567567567567568,0.109375,1.1803167367969318
BA_bad,2905013,49,34,0.03968253968253968,1.53125,0.008401920438957476,0.08163265306122448,0.9183673469387755,0.109375,1.2381769764951638
BA_bad,2905014,49,36,0.03521825396825397,1.53125,0.008401920438957476,0.1836734693877551,0.8163265306122449,0.15625,1.4132912313855233
BA_bad,2905015,44,34,0.03422619047619048,1.375,0.0075445816186556925,0.09090909090909091,0.9090909090909091,0.078125,1.2201682238199474
BA_bad,2905016,45,36,0.02976190476190476,1.40625,0.007716049382716049,0.13333333333333333,0.8666666666666667,0.234375,1.5962466467789693
BA_bad,2905017,36,22,0.03521825396825397,1.125,0.006172839506172839,0.16666666666666666,0.8333333333333334,0.09375,0.8787610962587228
BA_bad,2905018,46,33,0.034722222222222224,1.4375,0.007887517146776405,0.1956521739130435,0.8043478260869565,0.109375,1.5041316356133039
BA_bad,2905019,44,31,0.03521825396825397,1.375,0.0075445816186556925,0.22727272727272727,0.7727272727272727,0.15625,1.2891142362368262
BA_bad,2905020,51,39,0.03571428571428571,1.59375,0.00874485596707819,0.0784313725490196,0.9215686274509803,0.21875,1.5521438785403625
BA_bad,2905021,49,33,0.03819444444444445,1.53125,0.008401920438957476,0.12244897959183673,0.8775510204081632,0.234375,1.407486921118671
BA_bad,2905022,42,32,0.034722222222222224,1.3125,0.00720164609053498,0.21428571428571427,0.7857142857142857,0.140625,1.6277395498357927
BA_bad,2905023,47,31,0.039186507936507936,1.46875,0.008058984910836762,0.2553191489361702,0.7446808510638298,0.125,1.3609648805723413
BA_bad,2905024,39,28,0.03125,1.21875,0.006687242798353909,0.1282051282051282,0.8717948717948718,0.078125,1.1121059910331925
BA_bad,2905025,44,28,0.03819444444444445,1.375,0.0075445816186556925,0.22727272727272727,0.7727272727272727,0.125,1.0488629379555736
BA_bad,2905026,40,27,0.03125,1.25,0.006858710562414266,0.2,0.8,0.15625,1.0751044607682434
BA_bad,2905027,44,32,0.03670634920634921,1.375,0.0075445816186556925,0.1590909090909091,0.8409090909090909,0.234375,1.202417823685529
BA_bad,2905028,41,32,0.03720238095238095,1.28125,0.007030178326474623,0.3170731707317073,0.6829268292682927,0.15625,1.3382240567064523
BA_bad,2905029,32,27,0.029265873015873016,1.0,0.0054869684499314125,0.1875,0.8125,0.1875,0.9415909338396207
