q,m_kg,m_over_mp,m_microgram
0.1475,3.1815959475744932e-09,0.14618386992442312,3.1815959475744933
0.15,3.2345282340028967e-09,0.1486159343982137,3.2345282340028967
0.1525,3.28741064000463e-09,0.1510457070304492,3.28741064000463
0.155,3.340242350067574e-09,0.15347315035102987,3.340242350067574
0.1575,3.393022549461404e-09,0.15589822692577684,3.393022549461404
0.16,3.4457504242501535e-09,0.15832089935700935,3.4457504242501535
0.1625,3.4984251613047643e-09,0.1607411302841215,3.4984251613047643
0.165,3.551045948315631e-09,0.16315888238415846,3.551045948315631
0.1675,3.603611973805122e-09,0.16557411837239192,3.6036119738051218
0.17,3.6561224271400965e-09,0.16798680100289512,3.6561224271400965
0.17250000000000001,3.7085764985444067e-09,0.17039689306911737,3.7085764985444065
0.17500000000000002,3.760973379111381e-09,0.17280435740445743,3.7609733791113813
0.1775,3.813312260816305e-09,0.17520915688283722,3.813312260816305
0.18,3.865592336528877e-09,0.1776112544192739,3.865592336528877
0.1825,3.917812800025653e-09,0.1800106129704518,3.9178128000256534
0.185,3.969972846002489e-09,0.18240719553529403,3.969972846002489
0.1875,4.022071670086949e-09,0.18480096515553263,4.022071670086949
0.19,4.074108468850718e-09,0.18719188491627892,4.074108468850718
0.1925,4.126082439821986e-09,0.18957991794659246,4.126082439821986
0.195,4.177992781497824e-09,0.1919650274200497,4.1779927814978235
0.1975,4.22983869335655e-09,0.19434717655531214,4.22983869335655
0.2,4.281619375870064e-09,0.19672632861669317,4.281619375870064
0.2025,4.333334030516189e-09,0.19910244691472498,4.3333340305161885
0.20500000000000002,4.384981859790973e-09,0.20147549480672386,4.384981859790973
0.20750000000000002,4.436562067220999e-09,0.20384543569735583,4.436562067220999
0.21,4.48807385737566e-09,0.2062122330392005,4.48807385737566
0.2125,4.53951643587943e-09,0.2085758503333151,4.53951643587943
0.215,4.59088900942411e-09,0.210936251129797,4.59088900942411
0.2175,4.642190785781065e-09,0.2132933990283459,4.6421907857810645
0.22,4.69342097381344e-09,0.2156472576788253,4.69342097381344
0.2225,4.744578783488362e-09,0.21799779078182302,4.744578783488362
0.225,4.7956634258891185e-09,0.22034496208921073,4.795663425889119
0.2275,4.846674113227332e-09,0.2226887354047034,4.846674113227332
0.23,4.8976100588550975e-09,0.22502907458441707,4.897610058855098
0.2325,4.9484704772771245e-09,0.22736594353742648,4.948470477277125
0.23500000000000001,4.999254584162841e-09,0.2296993062263214,4.999254584162841
0.23750000000000002,5.0499615963585e-09,0.23202912666776285,5.0499615963585
0.24,5.100590731899243e-09,0.23435536893303738,5.100590731899243
0.2425,5.15114121002117e-09,0.23667799714861162,5.15114121002117
0.245,5.201612251173374e-09,0.23899697549668525,5.2016122511733744
0.2475,5.252003077029965e-09,0.2413122682157434,5.252003077029965
0.25,5.302312910502072e-09,0.2436238396011082,5.302312910502072
0.2525,5.352540975749824e-09,0.24593165400548925,5.352540975749824
0.255,5.402686498194324e-09,0.24823567583953374,5.402686498194324
0.2575,5.452748704529582e-09,0.25053586957237467,5.452748704529582
0.26,5.502726822734444e-09,0.25283219973217913,5.502726822734444
0.2625,5.5526200820845036e-09,0.25512463090669546,5.552620082084504
0.265,5.602427713163979e-09,0.25741312774379904,5.602427713163979
0.2675,5.6521489478775855e-09,0.2596976549520376,5.652148947877586
0.27,5.701783019462376e-09,0.2619781773011756,5.7017830194623755
0.2725,5.751329162499565e-09,0.26425465962273714,5.751329162499565
0.275,5.8007866129263365e-09,0.26652706681054883,5.800786612926337
0.2775,5.850154608047622e-09,0.2687953638212806,5.850154608047622
0.28,5.899432386547867e-09,0.27105951567498665,5.899432386547867
0.28250000000000003,5.9486191885027654e-09,0.2733194874556443,5.948619188502765
0.28500000000000003,5.997714255390987e-09,0.2755752443116933,5.997714255390987
0.28750000000000003,6.046716830105865e-09,0.2778267514565721,6.046716830105865
0.29,6.095626156967076e-09,0.2800739741692554,6.095626156967076
0.2925,6.144441481732301e-09,0.2823168777947891,6.144441481732302
0.295,6.193162051608843e-09,0.2845554277448246,6.1931620516088435
0.2975,6.241787115265243e-09,0.2867895894981525,6.241787115265243
0.3,6.290315922842868e-09,0.28901932860123475,6.2903159228428684
0.3025,6.338747725967472e-09,0.2912446106687361,6.3387477259674725
0.305,6.38708177776074e-09,0.29346540138405425,6.38708177776074
0.3075,6.435317332851797e-09,0.29568166649984906,6.435317332851797
0.31,6.4834536473887164e-09,0.29789337183857084,6.483453647388717
0.3125,6.53148997904998e-09,0.3001004832929873,6.531489979049979
0.315,6.5794255870559284e-09,0.3023029668267094,6.579425587055929
0.3175,6.62725973218019e-09,0.3045007884747165,6.62725973218019
0.32,6.674991676761071e-09,0.30669391434388,6.6749916767610715
0.3225,6.722620684712938e-09,0.3088823106134858,6.722620684712938
0.325,6.77014602153757e-09,0.3110659435357564,6.77014602153757
0.3275,6.817566954335483e-09,0.3132447794363709,6.817566954335483
0.33,6.8648827518172286e-09,0.3154187847149843,6.864882751817229
0.3325,6.912092684314677e-09,0.31758792584574574,6.912092684314677
0.335,6.959196023792268e-09,0.3197521693778157,6.959196023792268
0.3375,7.006192043858238e-09,0.32191148193588165,7.0061920438582375
0.34,7.053080019775821e-09,0.32406583022067276,7.0530800197758206
0.3425,7.099859228474424e-09,0.32621518100947333,7.099859228474424
0.34500000000000003,7.146528948560781e-09,0.3283595011566354,7.146528948560781
0.34750000000000003,7.193088460330073e-09,0.33049875759408964,7.193088460330073
0.35000000000000003,7.239537045777034e-09,0.3326329173318553,7.239537045777034
0.3525,7.285873988607018e-09,0.33476194745854937,7.285873988607018
0.355,7.332098574247042e-09,0.3368858151418933,7.332098574247042
0.3575,7.3782100898568135e-09,0.33900448762922025,7.378210089856814
0.36,7.424207824339723e-09,0.34111793224797954,7.424207824339723
0.3625,7.470091068353795e-09,0.34322611640624046,7.470091068353795
0.365,7.515859114322654e-09,0.3453290075931957,7.515859114322654
0.3675,7.56151125644641e-09,0.34742657337966143,7.561511256446409
0.37,7.60704679071256e-09,0.34951878141857873,7.60704679071256
0.3725,7.65246501490683e-09,0.35160559944551106,7.652465014906829
