c2,QCMI,SR
0.58147683,3.25023071,2.00000000
0.72598718,3.33793690,2.00000000
0.54703927,3.25141079,2.00000000
0.48513917,3.15985007,2.00000000
0.95434409,3.31759208,2.00000000
0.32869256,2.88771661,2.00000000
0.60705136,3.12354378,2.00000000
0.71865076,3.28768431,2.00000000
0.65908319,3.13658719,2.00000000
0.92222414,3.11662053,2.00000000
0.56505862,3.36722422,2.00000000
0.53143826,3.09855050,2.00000000
0.75276520,3.34482431,2.00000000
0.58674906,3.22201725,2.00000000
0.62869679,3.23187964,2.00000000
0.43732239,3.11297273,2.00000000
0.80404806,3.45094761,2.00000000
0.57166851,3.45912802,2.00000000
0.73469543,3.40372229,2.00000000
0.42578904,3.09077783,2.00000000
0.42694880,2.90864101,2.00000000
1.02336115,3.39848364,2.00000000
0.37662165,2.36176813,2.00000000
0.72338254,3.09262804,2.00000000
0.61884655,3.32117898,2.00000000
0.34038309,3.53518786,2.00000000
0.96329144,3.41162323,2.00000000
0.34207289,2.79111964,2.00000000
0.59312285,3.28927595,2.00000000
0.58084786,3.24598511,2.00000000
0.72724621,3.15165088,2.00000000
0.43391380,3.23968357,2.00000000
0.94555863,3.32928509,2.00000000
0.71398720,3.37971334,2.00000000
0.58391202,3.27891876,2.00000000
0.83297960,3.32015602,2.00000000
0.51791617,3.30571138,2.00000000
0.95051591,3.14465759,2.00000000
0.69523040,3.16578181,2.00000000
0.23174991,2.51200785,2.00000000
0.48877418,3.00872934,2.00000000
0.71895738,3.31825834,2.00000000
0.85025781,3.56660353,2.00000000
0.80767220,2.90222931,2.00000000
0.77801063,3.39597853,2.00000000
0.75189548,3.21448850,2.00000000
0.69957194,3.26020361,2.00000000
0.50678586,3.26306618,2.00000000
0.54312031,3.26923984,2.00000000
0.58221508,3.24296728,2.00000000
0.72304846,3.19392118,2.00000000
0.49553464,3.22866482,2.00000000
0.44215282,3.00117627,2.00000000
0.58621833,3.13311938,2.00000000
0.22113909,2.40925529,2.00000000
0.43386063,2.73311681,2.00000000
0.66206384,3.05109086,2.00000000
0.74154242,3.12641301,2.00000000
0.97035901,2.96959846,2.00000000
0.69251034,3.25808905,2.00000000
0.56077882,3.19282164,2.00000000
0.32791333,3.26511981,2.00000000
0.49569567,3.16963294,2.00000000
0.45426648,3.22565496,2.00000000
1.01492976,3.53380722,2.00000000
0.80413601,3.27522994,2.00000000
0.67892439,3.37614742,2.00000000
0.57733230,2.94872645,2.00000000
0.65200876,3.26622825,2.00000000
1.25246484,2.87541855,2.00000000
0.50354347,3.02861820,2.00000000
0.32393422,2.88035718,2.00000000
0.63661402,3.10044575,2.00000000
0.84564917,3.34034405,2.00000000
0.47605430,3.17396871,2.00000000
0.60768020,3.29669583,2.00000000
0.65311523,3.44056381,2.00000000
0.75839997,3.05349519,2.00000000
0.64278723,3.20753950,2.00000000
0.48412822,3.19409020,2.00000000
0.70699661,3.21667018,2.00000000
0.37541542,3.12027573,2.00000000
0.55527855,3.06787167,2.00000000
0.59259725,3.19895842,2.00000000
0.81839885,3.35609165,2.00000000
0.88001392,3.36991261,2.00000000
0.56256288,3.19678751,2.00000000
0.88771233,3.04681095,2.00000000
0.63116374,3.03396236,2.00000000
0.75115280,2.92187741,2.00000000
0.47363098,3.33593882,2.00000000
0.67017500,3.48113745,2.00000000
0.34636349,3.00493339,2.00000000
0.89777845,2.93512057,2.00000000
0.66963675,3.36270066,2.00000000
0.80519660,3.49241805,2.00000000
0.87219471,3.34363325,2.00000000
0.76170630,3.35273766,2.00000000
0.68876539,3.23565578,2.00000000
0.68783766,3.29257909,2.00000000
0.57775855,3.23301058,2.00000000
0.32966949,2.61714794,2.00000000
0.72933562,3.29053047,2.00000000
0.25068951,2.21513943,2.00000000
0.75797629,3.27769608,2.00000000
0.89643255,2.59646648,2.00000000
0.80977061,3.21099036,2.00000000
0.38208402,2.99404802,2.00000000
0.64870994,3.38931166,2.00000000
0.63303827,3.28958531,2.00000000
0.64092769,3.18603432,2.00000000
0.67698307,3.36233492,2.00000000
0.41661117,2.96254931,2.00000000
0.53901332,3.28142678,2.00000000
0.54901077,3.11875252,2.00000000
0.54001082,3.15602045,2.00000000
0.76717595,3.24808690,2.00000000
0.64173907,3.37462864,2.00000000
0.28569071,2.67032200,2.00000000
0.79939764,2.86852289,2.00000000
0.76314115,3.02825001,2.00000000
