N,D,topology,trial,M,steps,rho_D_final,mm_ratio,mm_se,mm_dimension,dist_to_gamma4,eta,alignment_mean,alignment_se
1000,4,small_world,1,957,45,0.957,0.3560116894838828,0.006530171343049227,3,0.15501168948388278,1.4267978051287271,0.1706083437182265,0.00794273591720027
1000,4,small_world,2,960,45,0.96,0.3659816318438836,0.0063649583502514,3,0.1649816318438836,1.4971208109960723,0.13869951283427553,0.007780683339737836
1000,4,small_world,3,954,47,0.954,0.3661311823129481,0.0063541170729419566,3,0.1651311823129481,1.119579509259911,0.37657336529474467,0.00667632801739761
1000,4,small_world,4,957,39,0.957,0.3567992500056319,0.006503861683874013,3,0.15579925000563188,1.4835386684299945,0.37337181431304917,0.006967323260973557
1000,4,small_world,0,951,62,0.951,0.4061952150651353,0.0055890606831562675,2,0.20519521506513527,1.0954041617133279,0.0490891953616967,0.007351066295329299
1000,4,small_world,1,951,69,0.951,0.4139988876326203,0.0053852777456212374,2,0.21299888763262032,1.6763363234337978,0.11511345350531217,0.007085990955573365
1000,4,small_world,2,950,61,0.95,0.41288459879206213,0.00541905296116219,2,0.21188459879206212,1.6959483555091128,0.047992070515508134,0.007365870696262385
1000,4,small_world,3,954,68,0.954,0.416366377977111,0.005331369139407028,2,0.215366377977111,1.3795012589717344,0.02995844238687584,0.00794460138654513
1000,4,small_world,4,955,65,0.955,0.41590684933267225,0.00533822834682685,2,0.21490684933267223,1.4562081522752781,0.05665429235511482,0.0073492773287804295
1000,4,small_world,0,960,36,0.96,0.34721420549519433,0.006654187052917057,3,0.14621420549519432,1.7132075350710325,0.08529057974631082,0.007435170522616201
1000,4,small_world,1,954,37,0.954,0.336103701783171,0.006769473439784653,3,0.135103701783171,1.4071211826726273,-0.0045548874859601815,0.007406500479257494
1000,4,small_world,2,961,39,0.961,0.36193579552635996,0.006442232244633203,3,0.16093579552635995,1.701928184828549,0.12278805583045542,0.006960500581957209
1000,4,small_world,3,950,40,0.95,0.36241412109417703,0.006431193440826168,3,0.16141412109417702,1.3281004057008603,0.024430867339208198,0.0075699420127455135
1000,4,small_world,4,954,41,0.954,0.3539763923069912,0.006537772471964518,3,0.15297639230699117,1.3269652280631012,0.025398333569750544,0.0074909985266131745
5000,2,random_regular,0,4751,120,0.9502,0.4466057619274985,0.0019692325745916833,2,0.2456057619274985,1.0,0.029833174255184634,0.011032212866178235
5000,2,random_regular,1,4754,143,0.9508,0.4458218671105667,0.001982488098718517,2,0.2448218671105667,1.0,0.01588319472700135,0.010252512440560416
5000,2,random_regular,2,4751,130,0.9502,0.44319076491933357,0.0020234877064892083,2,0.24219076491933356,1.0,0.08328185775733032,0.010498260078738096
5000,2,random_regular,3,4751,114,0.9502,0.44910798980540206,0.0019270759446305629,2,0.24810798980540205,1.0,0.010716530368610531,0.010139163957841521
5000,2,random_regular,4,4750,122,0.95,0.4427586607091047,0.0020331744730913096,2,0.24175866070910468,1.0,0.027931585620612317,0.010242174209498517
5000,2,random_regular,0,4782,32,0.9564,0.32993268491667854,0.003082790342893921,3,0.12893268491667853,1.0,0.2988560683252059,0.009223910762981326
5000,2,random_regular,1,4770,34,0.954,0.3323163195208654,0.0030745435590034845,3,0.13131631952086537,1.0,0.05176650437902283,0.01065368491090988
5000,2,random_regular,2,4779,31,0.9558,0.33062613440694283,0.0030786181330119907,3,0.12962613440694282,1.0,0.11331524836283006,0.009976848089201578
5000,2,random_regular,3,4764,34,0.9528,0.33507243569335066,0.0030554940077152488,3,0.13407243569335064,1.0,0.05179359891639729,0.010339835401414501
5000,2,random_regular,4,4768,32,0.9536,0.3372827227004455,0.0030475717075208048,3,0.1362827227004455,1.0,0.27985907378845853,0.01038044239035713
5000,2,random_regular,0,4752,118,0.9504,0.44481281981281984,0.0019992040213742245,2,0.24381281981281983,1.0,0.03608323509660845,0.010042755203003012
5000,2,random_regular,1,4750,139,0.95,0.44152001098726595,0.0020506696159418034,2,0.24052001098726594,1.0,0.026716006339206587,0.010169371778653902
5000,2,random_regular,2,4753,119,0.9506,0.44296670070989275,0.0020287877268848164,2,0.24196670070989273,1.0,0.03643944685777325,0.010062753828236312
5000,2,random_regular,3,4752,121,0.9504,0.4437327813553304,0.0020162566359067345,2,0.24273278135533038,1.0,0.031933163711201265,0.010013633296283568
5000,2,random_regular,4,4752,131,0.9504,0.44597318024570665,0.0019798863164992796,2,0.24497318024570663,1.0,0.03225715560063075,0.010069986653779868
5000,2,random_regular,0,4783,30,0.9566,0.33026987463883617,0.0030857507602584234,3,0.12926987463883616,1.0,0.05382769659067499,0.010073448487302168
5000,2,random_regular,1,4756,27,0.9512,0.3265363655291819,0.003099340958033161,3,0.1255363655291819,1.0,0.024324841528118687,0.010090676622812246
5000,2,random_regular,2,4798,29,0.9596,0.3287480511182041,0.0030925449401396354,3,0.1277480511182041,1.0,0.10147913912408514,0.010165881992668971
5000,2,random_regular,3,4783,29,0.9566,0.32899446904435425,0.003086758253891489,3,0.12799446904435424,1.0,0.02062734042353707,0.009945331623616849
5000,2,random_regular,4,4786,30,0.9572,0.3353523169375284,0.003057858701057256,3,0.13435231693752842,1.0,-0.008833641627582947,0.010309771269119368
5000,2,small_world,0,4750,189,0.95,0.4376580341314651,0.002099381362998431,2,0.23665803413146508,1.0,0.0030151871032964898,0.010103246580652588
5000,2,small_world,1,4750,196,0.95,0.44189109694887546,0.0020367126129230235,2,0.24089109694887545,1.0,0.05134727247573958,0.010020738714106862
5000,2,small_world,2,4751,196,0.9502,0.443264003167561,0.002015262619651909,2,0.24226400316756097,1.0,0.020171446794379735,0.010079973293028045
5000,2,small_world,3,4750,172,0.95,0.4419080799993186,0.0020368654847318208,2,0.24090807999931857,1.0,0.011931578008577217,0.009951647266369788
5000,2,small_world,4,4752,165,0.9504,0.4381951255305653,0.0020934489737939703,2,0.23719512553056527,1.0,0.004050431089900639,0.010230292774111466
5000,2,small_world,0,4770,48,0.954,0.33358020321195936,0.0030289224513474614,3,0.13258020321195935,1.0,0.11062571812002323,0.00993331320513723
5000,2,small_world,1,4759,49,0.9518,0.33551432766079564,0.0030149335772419817,3,0.13451432766079563,1.0,0.07817069092255981,0.010069379340665284
5000,2,small_world,2,4762,50,0.9524,0.3379826903708921,0.0030024565769213598,3,0.1369826903708921,1.0,0.03423819695750583,0.010040590621175682
5000,2,small_world,3,4758,51,0.9516,0.33903478239588425,0.002999810629553739,3,0.13803478239588424,1.0,0.020176829028062587,0.010094515127933888
5000,2,small_world,4,4760,49,0.952,0.332279111099233,0.0030340584116679507,3,0.13127911109923301,1.0,-0.007895766631710717,0.010304480561970695
5000,2,small_world,0,4750,154,0.95,0.43677313827691167,0.002113055023280658,2,0.23577313827691165,1.0,0.016459439983948998,0.010009782306099066
5000,2,small_world,1,4750,169,0.95,0.43508007263055604,0.0021376143750403125,2,0.23408007263055602,1.0,0.026019046449577952,0.009977694074271
5000,2,small_world,2,4750,150,0.95,0.43716268968468747,0.0021070374840508072,2,0.23616268968468745,1.0,0.02649643258015576,0.010186658530377646
5000,2,small_world,3,4750,192,0.95,0.43853150391774026,0.002088323698476643,2,0.23753150391774025,1.0,-0.009005529811449399,0.010042977650922848
5000,2,small_world,4,4752,171,0.9504,0.435428162216662,0.00213332453038413,2,0.23442816221666196,1.0,0.016912109045221297,0.01004339941685459
5000,2,small_world,0,4759,42,0.9518,0.31657598156195915,0.0031007047073322302,3,0.11557598156195914,1.0,0.03527135228813098,0.010085549085549506
5000,2,small_world,1,4781,41,0.9562,0.3258479530666278,0.003063740710265254,3,0.12484795306662777,1.0,0.0901890109914181,0.00997290774886037
5000,2,small_world,2,4764,42,0.9528,0.3235963717801281,0.0030713609364721945,3,0.12259637178012811,1.0,0.027768783723416096,0.010116395812691617
