q_access,archive_fraction_A,mass_over_mp,classicality_proxy
0.5275,0.47250000000000003,0.43029884249785394,0.8323790334481003
0.53,0.47,0.42845307315112563,0.8291894104769351
0.5325,0.4675,0.4266006965279879,0.8259564980833632
0.535,0.46499999999999997,0.42474174119437935,0.8226801296022036
0.5375,0.4625,0.4228762358176911,0.819360148381106
0.54,0.45999999999999996,0.42100420916632386,0.8159964080322801
0.5425,0.4575,0.41912569010924433,0.8125887726837712
0.545,0.45499999999999996,0.4172407076155401,0.8091371172301197
0.5475,0.4525,0.4153492907539733,0.8056413275822456
0.55,0.44999999999999996,0.41345146869253147,0.8021013009163853
0.5525,0.4475,0.4115472706979787,0.7985169459219206
0.555,0.44499999999999995,0.4096367261354036,0.794888183047923
0.5575,0.4425,0.4077198644677667,0.7912149447482445
0.56,0.43999999999999995,0.4057967152554463,0.7874971757249779
0.5625,0.4375,0.40386730815578237,0.7837348331701127
0.5650000000000001,0.43499999999999994,0.40193167292261894,0.779927887005204
0.5675,0.4325,0.39998983940584604,0.7760763201188786
0.5700000000000001,0.42999999999999994,0.39804183755093847,0.7721801286019909
0.5725,0.4275,0.3960876973984948,0.7682393219802515
0.5750000000000001,0.42499999999999993,0.3941274490837734,0.7642539234441363
0.5775,0.4225,0.39216112283622845,0.7602239700758965
0.58,0.42000000000000004,0.3901887489790429,0.7561495130734754
0.5825,0.4175,0.38821035792866165,0.7520306179711493
0.585,0.41500000000000004,0.3862259801943222,0.7478673648566999
0.5875,0.4125,0.3842356463775838,0.7436598485849264
0.59,0.41000000000000003,0.3822393871718562,0.7394081789873108
0.5925,0.4075,0.38023723336192583,0.7351124810776408
0.595,0.405,0.3782292158234813,0.7307728952534005
0.5975,0.40249999999999997,0.3762153655226369,0.726389577492736
0.6,0.4,0.37419571351545566,0.7219626995468059
0.6025,0.39749999999999996,0.37217029094746984,0.7174924491273202
0.605,0.395,0.3701391290532012,0.7129790300890827
0.6075,0.39249999999999996,0.3681022591556786,0.7084226626073364
0.61,0.39,0.36605971266595577,0.7038235833497333
0.6125,0.38749999999999996,0.36401152108262613,0.6991820456427243
0.615,0.385,0.36195771599133786,0.6944983196321949
0.6175,0.38249999999999995,0.35989832906430597,0.6897726924381448
0.62,0.38,0.3578333920598246,0.6850054683032367
0.6225,0.37749999999999995,0.3557629368217766,0.6801969687350198
0.625,0.375,0.35368699527914327,0.6753475326416503
0.6275000000000001,0.37249999999999994,0.351605599445511,0.6704575164609228
0.63,0.37,0.34951878141857873,0.665527294282436
0.6325000000000001,0.36749999999999994,0.34742657337966143,0.660557257962711
0.635,0.365,0.3453290075931957,0.6555478172330909
0.6375000000000001,0.36249999999999993,0.34322611640624046,0.6504993998002434
0.64,0.36,0.34111793224797954,0.6454124514391011
0.6425,0.35750000000000004,0.3390044876292203,0.6402874360780663
0.645,0.355,0.3368858151418933,0.6351248358763208
0.6475,0.35250000000000004,0.33476194745854937,0.6299251512930755
0.65,0.35,0.3326329173318553,0.6246889011486004
0.6525,0.34750000000000003,0.33049875759408964,0.6194166226768869
0.655,0.345,0.32835950115663537,0.6141088715697809
0.6575,0.3425,0.3262151810094734,0.6087662220124506
0.66,0.33999999999999997,0.3240658302206727,0.6033892667100349
0.6625,0.3375,0.32191148193588165,0.5979786169053452
0.665,0.33499999999999996,0.31975216937781564,0.5925349023874723
0.6675,0.3325,0.31758792584574574,0.5870587714911824
0.67,0.32999999999999996,0.31541878471498425,0.5815508910869644
0.6725,0.3275,0.3132447794363709,0.5760119465616186
0.675,0.32499999999999996,0.3110659435357564,0.5704426417892607
0.6775,0.3225,0.3088823106134858,0.5648436990926431
0.68,0.31999999999999995,0.30669391434387994,0.5592158591946754
0.6825,0.3175,0.3045007884747165,0.5535598811600567
0.685,0.31499999999999995,0.3023029668267093,0.547876542326917
0.6875,0.3125,0.3001004832929873,0.5421666382283857
0.6900000000000001,0.30999999999999994,0.2978933718385708,0.5364309825040013
0.6925,0.3075,0.29568166649984906,0.5306704068008903
0.6950000000000001,0.30499999999999994,0.2934654013840542,0.5248857606646408
0.6975,0.3025,0.2912446106687361,0.5190779114198136
0.7000000000000001,0.29999999999999993,0.28901932860123475,0.5132477440400282
0.7025,0.2975,0.28678958949815253,0.5073961610075792
0.705,0.29500000000000004,0.2845554277448247,0.5015240821625341
0.7075,0.2925,0.2823168777947891,0.4956324445412811
0.71,0.29000000000000004,0.2800739741692554,0.48972220220449636
0.7125,0.2875,0.27782675145657204,0.48379432605450357
0.715,0.28500000000000003,0.2755752443116933,0.47784980364202023
0.7175,0.2825,0.2733194874556443,0.47188963896227154
0.72,0.28,0.27105951567498665,0.465914852240483
0.7225,0.27749999999999997,0.2687953638212806,0.45992647970674716
0.725,0.275,0.2665270668105489,0.4539255733602906
0.7275,0.27249999999999996,0.26425465962273714,0.4479132007231531
0.73,0.27,0.2619781773011756,0.4418904445833174
0.7325,0.26749999999999996,0.2596976549520376,0.4358584027273198
0.735,0.265,0.25741312774379904,0.429818187662395
0.7375,0.26249999999999996,0.2551246309066954,0.4237709263281999
0.74,0.26,0.25283219973217913,0.4177177597981867
0.7425,0.25749999999999995,0.2505358695723746,0.41165984297068514
0.745,0.255,0.24823567583953376,0.40559834424978136
0.7475,0.25249999999999995,0.24593165400548925,0.3995344452160676
0.75,0.25,0.24362383960110817,0.3934693402873666
0.7525000000000001,0.24749999999999994,0.24131226821574334,0.3874042363695228
0.755,0.245,0.23899697549668525,0.3813403524973775
0.7575000000000001,0.24249999999999994,0.2366779971486116,0.37527891946603775
0.76,0.24,0.23435536893303738,0.3692211794525717
0.7625000000000001,0.23749999999999993,0.23202912666776276,0.3631683856282567
0.765,0.235,0.22969930622632137,0.35712180176152797
0.7675000000000001,0.23249999999999993,0.22736594353742637,0.35108270181177015
0.77,0.22999999999999998,0.22502907458441704,0.3450523695141168
0.7725,0.22750000000000004,0.22268873540470344,0.33903209795541356
0.775,0.22499999999999998,0.2203449620892107,0.3330231891415255
0.7775,0.22250000000000003,0.21799779078182302,0.3270269535561662
0.78,0.21999999999999997,0.21564725767882528,0.32104470971143195
0.7825,0.21750000000000003,0.21329339902834593,0.31507778369024697
0.785,0.21499999999999997,0.210936251129797,0.3091275086809102
0.7875,0.21250000000000002,0.20857585033331516,0.3031952245039653
0.79,0.20999999999999996,0.2062122330392005,0.29728227713160227
0.7925,0.20750000000000002,0.20384543569735586,0.29139001819982324
0.795,0.20499999999999996,0.20147549480672386,0.2855198045135965
0.7975,0.2025,0.19910244691472498,0.2796729975452452
0.8,0.19999999999999996,0.19672632861669315,0.27385096292630895
0.8025,0.1975,0.19434717655531214,0.2680550699331372
0.805,0.19499999999999995,0.19196502742004967,0.2622866909664653
0.8075,0.1925,0.18957991794659246,0.2565472010252474
0.81,0.18999999999999995,0.1871918849162789,0.2508379771750071
0.8125,0.1875,0.18480096515553263,0.24516039801099265
0.8150000000000001,0.18499999999999994,0.18240719553529397,0.23951584311641028
0.8175,0.1825,0.18001061297045182,0.23390569251603366
0.8200000000000001,0.17999999999999994,0.17761125441927383,0.2283313261254737
0.8225,0.1775,0.17520915688283722,0.22279412319641756
0.8250000000000001,0.17499999999999993,0.1728043574044574,0.21729546175813164
0.8275,0.1725,0.17039689306911732,0.21183671805554727
0.8300000000000001,0.16999999999999993,0.16798680100289504,0.2064192659842331
0.8325,0.16749999999999998,0.16557411837239186,0.20104447652258195
0.835,0.16500000000000004,0.16315888238415846,0.19571371716152608
0.8375,0.16249999999999998,0.16074113028412146,0.190428351332113
0.84,0.16000000000000003,0.15832089935700935,0.18518973783127068
0.8425,0.15749999999999997,0.15589822692577684,0.17999923024609132
0.845,0.15500000000000003,0.1534731503510299,0.17485817637697898
0.8475,0.15249999999999997,0.15104570703044917,0.16976791765999166
0.85,0.15000000000000002,0.14861593439821372,0.164729788588728
0.8525,0.14749999999999996,0.1461838699244231,0.15974511613609776
0.855,0.14500000000000002,0.14374955111452029,0.15481521917632868
0.8575,0.14249999999999996,0.14131301550871256,0.14994140790755273
0.86,0.14,0.13887430068139328,0.14512498327533052
0.8625,0.13749999999999996,0.1364334442405617,0.14036723639745774
0.865,0.135,0.13399048382724388,0.13566944799041403
0.8675,0.13249999999999995,0.1315454571149112,0.1310328877978041
0.87,0.13,0.12909840180890048,0.1264588140211499
0.8725,0.12749999999999995,0.12664935564583144,0.12194847275338361
0.875,0.125,0.12419835639302572,0.11750309741540454
0.8775000000000001,0.12249999999999994,0.12174544184792367,0.11312390819604623
0.88,0.12,0.11929064983750215,0.1088121114958156
0.8825000000000001,0.11749999999999994,0.1168340182176905,0.10456889937475278
0.885,0.11499999999999999,0.11437558487278748,0.10039544900476849
