mass_kg,gamma_thermal_1mK_s^-1,gamma_planck_energy_s^-1
8.376776400682925e-18,1.3639195169919373e-118,3.0320644253760917e+21
1e-17,1.9437253457435829e-118,4.3210031091341884e+21
1.1937766417144455e-17,2.7700081805548394e-118,6.157873069214782e+21
1.4251026703029962e-17,3.947546054869781e-118,8.775601354324748e+21
1.7012542798525997e-17,5.625658423939077e-118,1.2506132923562995e+22
2.0309176209047307e-17,8.017140842167993e-118,1.782252342453355e+22
2.4244620170823408e-17,1.1425248822369005e-117,2.5398925723840882e+22
2.89426612471674e-17,1.6282152605633968e-117,3.6196076871872514e+22
3.4551072945922325e-17,2.3203739156570235e-117,5.158312580459889e+22
4.1246263829013645e-17,3.306771063304243e-117,7.351125032670925e+22
4.923882631706752e-17,4.712488272395556e-117,1.0476107913790538e+23
5.878016072274925e-17,6.715779620762464e-117,1.4929529362325251e+23
7.017038286703836e-17,9.570675470715023e-117,2.1276112160616694e+23
8.376776400682925e-17,1.363919516991937e-116,3.032064425376091e+23
1e-16,1.9437253457435826e-116,4.321003109134187e+23
1.1937766417144406e-16,2.7700081805548177e-116,6.15787306921473e+23
1.425102670303002e-16,3.9475460548698136e-116,8.775601354324821e+23
1.7012542798525926e-16,5.62565842393903e-116,1.250613292356289e+24
2.030917620904739e-16,8.017140842168059e-116,1.7822523424533702e+24
2.424462017082331e-16,1.1425248822368915e-115,2.5398925723840676e+24
2.894266124716752e-16,1.62821526056341e-115,3.619607687187281e+24
3.4551072945922326e-16,2.3203739156570247e-115,5.15831258045989e+24
4.1246263829013646e-16,3.3067710633042436e-115,7.351125032670927e+24
4.923882631706752e-16,4.712488272395557e-115,1.0476107913790539e+25
5.878016072274924e-16,6.7157796207624575e-115,1.4929529362325247e+25
7.017038286703837e-16,9.57067547071503e-115,2.12761121606167e+25
8.376776400682924e-16,1.3639195169919372e-114,3.0320644253760913e+25
1e-15,1.9437253457435825e-114,4.3210031091341894e+25
1.1937766417144407e-15,2.7700081805548176e-114,6.157873069214731e+25
1.4251026703030022e-15,3.9475460548698145e-114,8.775601354324819e+25
1.7012542798525927e-15,5.625658423939031e-114,1.2506132923562892e+26
2.030917620904739e-15,8.017140842168056e-114,1.7822523424533694e+26
2.424462017082331e-15,1.1425248822368911e-113,2.539892572384068e+26
2.894266124716752e-15,1.6282152605634103e-113,3.619607687187281e+26
3.4551072945922322e-15,2.3203739156570232e-113,5.158312580459887e+26
4.124626382901365e-15,3.3067710633042443e-113,7.351125032670927e+26
4.923882631706752e-15,4.712488272395558e-113,1.0476107913790541e+27
5.878016072274924e-15,6.715779620762463e-113,1.4929529362325254e+27
7.017038286703837e-15,9.570675470715025e-113,2.1276112160616697e+27
8.376776400682924e-15,1.3639195169919371e-112,3.0320644253760905e+27
1e-14,1.9437253457435826e-112,4.3210031091341874e+27
1.1937766417144357e-14,2.7700081805547945e-112,6.157873069214679e+27
1.4251026703029962e-14,3.9475460548697814e-112,8.775601354324745e+27
1.7012542798525857e-14,5.625658423938985e-112,1.2506132923562791e+28
2.0309176209047472e-14,8.017140842168121e-112,1.7822523424533842e+28
2.4244620170823406e-14,1.1425248822369004e-111,2.5398925723840884e+28
2.8942661247167636e-14,1.628215260563423e-111,3.6196076871873097e+28
3.455107294592232e-14,2.3203739156570233e-111,5.158312580459887e+28
4.1246263829013646e-14,3.3067710633042432e-111,7.351125032670926e+28
4.923882631706752e-14,4.712488272395556e-111,1.0476107913790538e+29
5.878016072274924e-14,6.71577962076246e-111,1.4929529362325247e+29
7.017038286703837e-14,9.570675470715027e-111,2.1276112160616702e+29
